date,price
2018-01-01,12139.01
2018-01-02,11799.98
2018-01-03,12545.01
2018-01-04,13065.62
2018-01-05,12940.0
2018-01-06,14300.0
2018-01-07,14229.99
2018-01-08,13358.06
2018-01-09,12769.0
2018-01-10,12276.25
2018-01-11,12465.19
2018-01-12,11199.98
2018-01-13,11581.03
2018-01-14,11745.48
2018-01-15,11323.88
2018-01-16,11301.8
2018-01-17,9510.25
2018-01-18,9262.0
2018-01-19,9562.28
2018-01-20,9690.0
2018-01-21,10585.6
2018-01-22,9542.49
2018-01-23,8941.88
2018-01-24,8831.86
2018-01-25,9193.5
2018-01-26,9030.51
2018-01-27,8967.35
2018-01-28,9137.41
2018-01-29,9360.01
2018-01-30,9009.92
2018-01-31,8105.18
2018-02-01,8130.3
2018-02-02,7145.82
2018-02-03,7125.15
2018-02-04,7399.93
2018-02-05,6541.83
2018-02-06,5468.77
2018-02-07,6230.01
2018-02-08,6167.28
2018-02-09,6768.09
2018-02-10,7087.76
2018-02-11,7020.0
2018-02-12,6629.98
2018-02-13,7202.59
2018-02-14,6955.09
2018-02-15,7661.21
2018-02-16,8107.93
2018-02-17,8216.09
2018-02-18,9014.0
2018-02-19,8442.07
2018-02-20,9030.85
2018-02-21,9150.6
2018-02-22,8520.68
2018-02-23,7974.03
2018-02-24,8292.05
2018-02-25,7909.0
2018-02-26,7819.0
2018-02-27,8379.99
2018-02-28,8611.0
2018-03-01,8469.99
2018-03-02,8885.01
2018-03-03,8935.99
2018-03-04,9219.01
2018-03-05,9279.97
2018-03-06,9300.0
2018-03-07,8660.01
2018-03-08,8024.21
2018-03-09,7534.5
2018-03-10,7539.38
2018-03-11,7131.99
2018-03-12,7737.21
2018-03-13,7407.08
2018-03-14,7390.01
2018-03-15,6636.75
2018-03-16,6726.42
2018-03-17,6728.0
2018-03-18,6395.99
2018-03-19,6688.12
2018-03-20,6955.38
2018-03-21,7290.0
2018-03-22,7216.46
2018-03-23,7066.82
2018-03-24,7200.0
2018-03-25,6929.01
2018-03-26,6873.12
2018-03-27,6547.53
2018-03-28,6305.03
2018-03-29,6450.0
2018-03-30,5749.11
2018-03-31,5551.61
2018-04-01,5637.34
2018-04-02,5519.99
2018-04-03,5741.99
2018-04-04,6060.02
2018-04-05,5535.34
2018-04-06,5526.89
2018-04-07,5401.76
2018-04-08,5596.0
2018-04-09,5737.47
2018-04-10,5516.55
2018-04-11,5538.59
2018-04-12,5625.53
2018-04-13,6433.42
2018-04-14,6370.0
2018-04-15,6512.99
2018-04-16,6780.06
2018-04-17,6514.99
2018-04-18,6397.24
2018-04-19,6607.49
2018-04-20,6717.01
2018-04-21,7249.49
2018-04-22,7246.46
2018-04-23,7175.0
2018-04-24,7314.52
2018-04-25,7930.35
2018-04-26,7291.02
2018-04-27,7661.0
2018-04-28,7372.35
2018-04-29,7695.0
2018-04-30,7752.88
2018-05-01,7654.02
2018-05-02,7551.78
2018-05-03,7693.75
2018-05-04,8099.28
2018-05-05,8108.95
2018-05-06,8209.3
2018-05-07,8015.01
2018-05-08,7856.95
2018-05-09,7743.4
2018-05-10,7847.53
2018-05-11,7587.65
2018-05-12,7055.02
2018-05-13,7092.0
2018-05-14,7299.3
2018-05-15,7256.9
2018-05-16,7180.47
2018-05-17,7065.0
2018-05-18,6859.31
2018-05-19,7014.5
2018-05-20,7013.84
2018-05-21,7239.5
2018-05-22,7125.99
2018-05-23,6801.31
2018-05-24,6418.58
2018-05-25,6479.03
2018-05-26,6431.81
2018-05-27,6313.47
2018-05-28,6297.02
2018-05-29,6119.46
2018-05-30,6477.56
2018-05-31,6346.19
2018-06-01,6414.16
2018-06-02,6449.77
2018-06-03,6569.82
2018-06-04,6618.69
2018-06-05,6420.76
2018-06-06,6509.63
2018-06-07,6514.68
2018-06-08,6534.74
2018-06-09,6487.51
2018-06-10,6401.4
2018-06-11,5759.01
2018-06-12,5871.01
2018-06-13,5577.53
2018-06-14,5348.74
2018-06-15,5753.3
2018-06-16,5519.9
2018-06-17,5605.66
2018-06-18,5560.88
2018-06-19,5775.57
2018-06-20,5829.31
2018-06-21,5834.99
2018-06-22,5801.14
2018-06-23,5210.51
2018-06-24,5307.14
2018-06-25,5288.01
2018-06-26,5343.6
2018-06-27,5219.45
2018-06-28,5312.21
2018-06-29,5069.64
2018-06-30,5300.0
2018-07-01,5467.89
2018-07-02,5454.18
2018-07-03,5695.36
