date,MW
2018-01-01,110
2018-01-02,114
2018-01-03,111
2018-01-04,110
2018-01-05,112
2018-01-06,117
2018-01-07,97
2018-01-08,100
2018-01-09,105
2018-01-10,95
2018-01-11,112
2018-01-12,118
2018-01-13,103
2018-01-14,102
2018-01-15,120
2018-01-16,119
2018-01-17,100
2018-01-18,107
2018-01-19,100
2018-01-20,108
2018-01-21,113
2018-01-22,109
2018-01-23,84
2018-01-24,101
2018-01-25,114
2018-01-26,114
2018-01-27,103
2018-01-28,105
2018-01-29,92
2018-01-30,84
2018-01-31,95
2018-02-01,99
2018-02-02,92
2018-02-03,91
2018-02-04,107
2018-02-05,95
2018-02-06,96
2018-02-07,100
2018-02-08,98
2018-02-09,100
2018-02-10,106
2018-02-11,107
2018-02-12,101
2018-02-13,93
2018-02-14,91
2018-02-15,104
2018-02-16,80
2018-02-17,112
2018-02-18,92
2018-02-19,86
2018-02-20,113
2018-02-21,89
2018-02-22,87
2018-02-23,105
2018-02-24,119
2018-02-25,105
2018-02-26,114
2018-02-27,109
2018-02-28,91
2018-03-01,110
2018-03-02,95
2018-03-03,94
2018-03-04,111
2018-03-05,84
2018-03-06,116
2018-03-07,104
2018-03-08,85
2018-03-09,87
2018-03-10,117
2018-03-11,114
2018-03-12,106
2018-03-13,113
2018-03-14,96
2018-03-15,81
2018-03-16,89
2018-03-17,83
2018-03-18,82
2018-03-19,86
2018-03-20,115
2018-03-21,101
2018-03-22,89
2018-03-23,91
2018-03-24,88
2018-03-25,111
2018-03-26,112
2018-03-27,81
2018-03-28,100
2018-03-29,84
2018-03-30,81
2018-03-31,81
2018-04-01,98
2018-04-02,117
2018-04-03,97
2018-04-04,86
2018-04-05,93
2018-04-06,81
2018-04-07,85
2018-04-08,92
2018-04-09,84
2018-04-10,118
2018-04-11,109
2018-04-12,92
2018-04-13,84
2018-04-14,110
2018-04-15,102
2018-04-16,90
2018-04-17,95
2018-04-18,112
2018-04-19,89
2018-04-20,87
2018-04-21,99
2018-04-22,85
2018-04-23,107
2018-04-24,99
2018-04-25,89
2018-04-26,90
2018-04-27,114
2018-04-28,104
2018-04-29,114
2018-04-30,113
2018-05-01,90
2018-05-02,93
2018-05-03,104
2018-05-04,116
2018-05-05,104
2018-05-06,104
2018-05-07,91
2018-05-08,83
2018-05-09,94
2018-05-10,90
2018-05-11,96
2018-05-12,100
2018-05-13,111
2018-05-14,89
2018-05-15,101
2018-05-16,85
2018-05-17,119
2018-05-18,95
2018-05-19,114
2018-05-20,83
2018-05-21,105
2018-05-22,117
2018-05-23,117
2018-05-24,104
2018-05-25,84
2018-05-26,96
2018-05-27,81
2018-05-28,89
2018-05-29,102
2018-05-30,82
2018-05-31,84
2018-06-01,119
2018-06-02,108
2018-06-03,109
2018-06-04,96
2018-06-05,119
2018-06-06,92
2018-06-07,107
2018-06-08,112
2018-06-09,83
2018-06-10,85
2018-06-11,99
2018-06-12,119
2018-06-13,105
2018-06-14,113
2018-06-15,94
2018-06-16,113
2018-06-17,118
2018-06-18,99
2018-06-19,112
2018-06-20,116
2018-06-21,104
2018-06-22,108
2018-06-23,83
2018-06-24,103
2018-06-25,103
2018-06-26,118
2018-06-27,83
2018-06-28,91
2018-06-29,108
2018-06-30,80
2018-07-01,95
